"film","year","ceremony","winner","wiki_link"
"Chocolat",2000,73,FALSE,"https://en.wikipedia.org/wiki/Chocolat_(2000_film)"
"Crouching Tiger, Hidden Dragon",2000,73,FALSE,"https://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon"
"Erin Brockovich",2000,73,FALSE,"https://en.wikipedia.org/wiki/Erin_Brockovich_(film)"
"Gladiator",2000,73,TRUE,"https://en.wikipedia.org/wiki/Gladiator_(2000_film)"
"Traffic",2000,73,FALSE,"https://en.wikipedia.org/wiki/Traffic_(2000_film)"
"A Beautiful Mind",2001,74,TRUE,"https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film)"
"Gosford Park",2001,74,FALSE,"https://en.wikipedia.org/wiki/Gosford_Park"
"In the Bedroom",2001,74,FALSE,"https://en.wikipedia.org/wiki/In_the_Bedroom"
"Moulin Rouge!",2001,74,FALSE,"https://en.wikipedia.org/wiki/Moulin_Rouge!"
"The Lord of the Rings: The Fellowship of the Ring",2001,74,FALSE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring"
"Chicago",2002,75,TRUE,"https://en.wikipedia.org/wiki/Chicago_(2002_film)"
"Gangs of New York",2002,75,FALSE,"https://en.wikipedia.org/wiki/Gangs_of_New_York"
"The Hours",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Hours_(film)"
"The Lord of the Rings: The Two Towers",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers"
"The Pianist",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Pianist_(2002_film)"
"Lost in Translation",2003,76,FALSE,"https://en.wikipedia.org/wiki/Lost_in_Translation_(film)"
"Master and Commander: The Far Side of the World",2003,76,FALSE,"https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World"
"Mystic River",2003,76,FALSE,"https://en.wikipedia.org/wiki/Mystic_River_(film)"
"Seabiscuit",2003,76,FALSE,"https://en.wikipedia.org/wiki/Seabiscuit_(film)"
"The Lord of the Rings: The Return of the King",2003,76,TRUE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King"
"Finding Neverland",2004,77,FALSE,"https://en.wikipedia.org/wiki/Finding_Neverland_(film)"
"Million Dollar Baby",2004,77,TRUE,"https://en.wikipedia.org/wiki/Million_Dollar_Baby"
"Ray",2004,77,FALSE,"https://en.wikipedia.org/wiki/Ray_(film)"
"Sideways",2004,77,FALSE,"https://en.wikipedia.org/wiki/Sideways"
"The Aviator",2004,77,FALSE,"https://en.wikipedia.org/wiki/The_Aviator_(2004_film)"
"Brokeback Mountain",2005,78,FALSE,"https://en.wikipedia.org/wiki/Brokeback_Mountain"
"Capote",2005,78,FALSE,"https://en.wikipedia.org/wiki/Capote_(film)"
"Crash",2005,78,TRUE,"https://en.wikipedia.org/wiki/Crash_(2004_film)"
"Good Night, and Good Luck",2005,78,FALSE,"https://en.wikipedia.org/wiki/Good_Night,_and_Good_Luck"
"Munich",2005,78,FALSE,"https://en.wikipedia.org/wiki/Munich_(2005_film)"
"Babel",2006,79,FALSE,"https://en.wikipedia.org/wiki/Babel_(film)"
"Letters from Iwo Jima",2006,79,FALSE,"https://en.wikipedia.org/wiki/Letters_from_Iwo_Jima"
"Little Miss Sunshine",2006,79,FALSE,"https://en.wikipedia.org/wiki/Little_Miss_Sunshine"
"The Departed",2006,79,TRUE,"https://en.wikipedia.org/wiki/The_Departed"
"The Queen",2006,79,FALSE,"https://en.wikipedia.org/wiki/The_Queen_(2006_film)"
"Atonement",2007,80,FALSE,"https://en.wikipedia.org/wiki/Atonement_(2007_film)"
"Juno",2007,80,FALSE,"https://en.wikipedia.org/wiki/Juno_(film)"
"Michael Clayton",2007,80,FALSE,"https://en.wikipedia.org/wiki/Michael_Clayton_(film)"
"No Country for Old Men",2007,80,TRUE,"https://en.wikipedia.org/wiki/No_Country_for_Old_Men"
"There Will Be Blood",2007,80,FALSE,"https://en.wikipedia.org/wiki/There_Will_Be_Blood"
"Frost/Nixon",2008,81,FALSE,"https://en.wikipedia.org/wiki/Frost/Nixon_(film)"
"Milk",2008,81,FALSE,"https://en.wikipedia.org/wiki/Milk_(2008_American_film)"
"Slumdog Millionaire",2008,81,TRUE,"https://en.wikipedia.org/wiki/Slumdog_Millionaire"
"The Curious Case of Benjamin Button",2008,81,FALSE,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)"
"The Reader",2008,81,FALSE,"https://en.wikipedia.org/wiki/The_Reader_(2008_film)"
"A Serious Man",2009,82,FALSE,"https://en.wikipedia.org/wiki/A_Serious_Man"
"An Education",2009,82,FALSE,"https://en.wikipedia.org/wiki/An_Education"
"Avatar",2009,82,FALSE,"https://en.wikipedia.org/wiki/Avatar_(2009_film)"
"District 9",2009,82,FALSE,"https://en.wikipedia.org/wiki/District_9"
"Inglourious Basterds",2009,82,FALSE,"https://en.wikipedia.org/wiki/Inglourious_Basterds"
"Precious: Based on the Novel 'Push' by Sapphire",2009,82,FALSE,"https://en.wikipedia.org/wiki/Precious_(film)"
"The Blind Side",2009,82,FALSE,"https://en.wikipedia.org/wiki/The_Blind_Side_(film)"
"The Hurt Locker",2009,82,TRUE,"https://en.wikipedia.org/wiki/The_Hurt_Locker"
"Up",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_(2009_film)"
"Up in the Air",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film)"
"127 Hours",2010,83,FALSE,"https://en.wikipedia.org/wiki/127_Hours"
"Black Swan",2010,83,FALSE,"https://en.wikipedia.org/wiki/Black_Swan_(film)"
"Inception",2010,83,FALSE,"https://en.wikipedia.org/wiki/Inception"
"The Fighter",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Fighter"
"The Kids Are All Right",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Kids_Are_All_Right_(film)"
"The King's Speech",2010,83,TRUE,"https://en.wikipedia.org/wiki/The_King%27s_Speech"
"The Social Network",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Social_Network"
"Toy Story 3",2010,83,FALSE,"https://en.wikipedia.org/wiki/Toy_Story_3"
"True Grit",2010,83,FALSE,"https://en.wikipedia.org/wiki/True_Grit_(2010_film)"
"Winter's Bone",2010,83,FALSE,"https://en.wikipedia.org/wiki/Winter%27s_Bone"
"Extremely Loud & Incredibly Close",2011,84,FALSE,"https://en.wikipedia.org/wiki/Extremely_Loud_%26_Incredibly_Close_(film)"
"Hugo",2011,84,FALSE,"https://en.wikipedia.org/wiki/Hugo_(film)"
"Midnight in Paris",2011,84,FALSE,"https://en.wikipedia.org/wiki/Midnight_in_Paris"
"Moneyball",2011,84,FALSE,"https://en.wikipedia.org/wiki/Moneyball_(film)"
"The Artist",2011,84,TRUE,"https://en.wikipedia.org/wiki/The_Artist_(film)"
"The Descendants",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Descendants"
"The Help",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Help_(film)"
"The Tree of Life",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Tree_of_Life_(film)"
"War Horse",2011,84,FALSE,"https://en.wikipedia.org/wiki/War_Horse_(film)"
"Amour",2012,85,FALSE,"https://en.wikipedia.org/wiki/Amour_(2012_film)"
"Argo",2012,85,TRUE,"https://en.wikipedia.org/wiki/Argo_(2012_film)"
"Beasts of the Southern Wild",2012,85,FALSE,"https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild"
"Django Unchained",2012,85,FALSE,"https://en.wikipedia.org/wiki/Django_Unchained"
"Les Misérables",2012,85,FALSE,"https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film)"
"Life of Pi",2012,85,FALSE,"https://en.wikipedia.org/wiki/Life_of_Pi_(film)"
"Lincoln",2012,85,FALSE,"https://en.wikipedia.org/wiki/Lincoln_(film)"
"Silver Linings Playbook",2012,85,FALSE,"https://en.wikipedia.org/wiki/Silver_Linings_Playbook"
"Zero Dark Thirty",2012,85,FALSE,"https://en.wikipedia.org/wiki/Zero_Dark_Thirty"
"12 Years a Slave",2013,86,TRUE,"https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)"
"American Hustle",2013,86,FALSE,"https://en.wikipedia.org/wiki/American_Hustle"
"Captain Phillips",2013,86,FALSE,"https://en.wikipedia.org/wiki/Captain_Phillips_(film)"
"Dallas Buyers Club",2013,86,FALSE,"https://en.wikipedia.org/wiki/Dallas_Buyers_Club"
"Gravity",2013,86,FALSE,"https://en.wikipedia.org/wiki/Gravity_(2013_film)"
"Her",2013,86,FALSE,"https://en.wikipedia.org/wiki/Her_(2013_film)"
"Nebraska",2013,86,FALSE,"https://en.wikipedia.org/wiki/Nebraska_(film)"
"Philomena",2013,86,FALSE,"https://en.wikipedia.org/wiki/Philomena_(film)"
"The Wolf of Wall Street",2013,86,FALSE,"https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)"
"American Sniper",2014,87,FALSE,"https://en.wikipedia.org/wiki/American_Sniper"
"Birdman or (The Unexpected Virtue of Ignorance)",2014,87,TRUE,"https://en.wikipedia.org/wiki/Birdman_(film)"
"Boyhood",2014,87,FALSE,"https://en.wikipedia.org/wiki/Boyhood_(2014_film)"
"Selma",2014,87,FALSE,"https://en.wikipedia.org/wiki/Selma_(film)"
"The Grand Budapest Hotel",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel"
"The Imitation Game",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Imitation_Game"
"The Theory of Everything",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film)"
"Whiplash",2014,87,FALSE,"https://en.wikipedia.org/wiki/Whiplash_(2014_film)"
"Bridge of Spies",2015,88,FALSE,"https://en.wikipedia.org/wiki/Bridge_of_Spies_(film)"
"Brooklyn",2015,88,FALSE,"https://en.wikipedia.org/wiki/Brooklyn_(film)"
"Mad Max: Fury Road",2015,88,FALSE,"https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road"
"Room",2015,88,FALSE,"https://en.wikipedia.org/wiki/Room_(2015_film)"
"Spotlight",2015,88,TRUE,"https://en.wikipedia.org/wiki/Spotlight_(film)"
"The Big Short",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Big_Short_(film)"
"The Martian",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Martian_(film)"
"The Revenant",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Revenant_(2015_film)"
"Arrival",2016,89,FALSE,"https://en.wikipedia.org/wiki/Arrival_(film)"
"Fences",2016,89,FALSE,"https://en.wikipedia.org/wiki/Fences_(film)"
"Hacksaw Ridge",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hacksaw_Ridge"
"Hell or High Water",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hell_or_High_Water_(film)"
"Hidden Figures",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hidden_Figures"
"La La Land",2016,89,FALSE,"https://en.wikipedia.org/wiki/La_La_Land"
"Lion",2016,89,FALSE,"https://en.wikipedia.org/wiki/Lion_(2016_film)"
"Manchester by the Sea",2016,89,FALSE,"https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film)"
"Moonlight",2016,89,TRUE,"https://en.wikipedia.org/wiki/Moonlight_(2016_film)"
"Call Me by Your Name",2017,90,FALSE,"https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film)"
"Darkest Hour",2017,90,FALSE,"https://en.wikipedia.org/wiki/Darkest_Hour_(film)"
"Dunkirk",2017,90,FALSE,"https://en.wikipedia.org/wiki/Dunkirk_(2017_film)"
"Get Out",2017,90,FALSE,"https://en.wikipedia.org/wiki/Get_Out"
"Lady Bird",2017,90,FALSE,"https://en.wikipedia.org/wiki/Lady_Bird_(film)"
"Phantom Thread",2017,90,FALSE,"https://en.wikipedia.org/wiki/Phantom_Thread"
"The Post",2017,90,FALSE,"https://en.wikipedia.org/wiki/The_Post_(film)"
"The Shape of Water",2017,90,TRUE,"https://en.wikipedia.org/wiki/The_Shape_of_Water"
"Three Billboards outside Ebbing, Missouri",2017,90,FALSE,"https://en.wikipedia.org/wiki/Three_Billboards_Outside_Ebbing,_Missouri"
"A Star Is Born",2018,91,FALSE,"https://en.wikipedia.org/wiki/A_Star_Is_Born_(2018_film)"
"Black Panther",2018,91,FALSE,"https://en.wikipedia.org/wiki/Black_Panther_(film)"
"BlacKkKlansman",2018,91,FALSE,"https://en.wikipedia.org/wiki/BlacKkKlansman"
"Bohemian Rhapsody",2018,91,FALSE,"https://en.wikipedia.org/wiki/Bohemian_Rhapsody_(film)"
"Green Book",2018,91,TRUE,"https://en.wikipedia.org/wiki/Green_Book_(film)"
"Roma",2018,91,FALSE,"https://en.wikipedia.org/wiki/Roma_(2018_film)"
"The Favourite",2018,91,FALSE,"https://en.wikipedia.org/wiki/The_Favourite_(2018_film)"
"Vice",2018,91,FALSE,"https://en.wikipedia.org/wiki/Vice_(2018_film)"
"1917",2019,92,FALSE,"https://en.wikipedia.org/wiki/1917_(2019_film)"
"Ford v Ferrari",2019,92,FALSE,"https://en.wikipedia.org/wiki/Ford_v_Ferrari"
"Jojo Rabbit",2019,92,FALSE,"https://en.wikipedia.org/wiki/Jojo_Rabbit"
"Joker",2019,92,FALSE,"https://en.wikipedia.org/wiki/Joker_(2019_film)"
"Little Women",2019,92,FALSE,"https://en.wikipedia.org/wiki/Little_Women_(2019_film)"
"Marriage Story",2019,92,FALSE,"https://en.wikipedia.org/wiki/Marriage_Story"
"Once upon a Time...in Hollywood",2019,92,FALSE,"https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood"
"Parasite",2019,92,TRUE,"https://en.wikipedia.org/wiki/Parasite_(2019_film)"
"The Irishman",2019,92,FALSE,"https://en.wikipedia.org/wiki/The_Irishman"
"Judas and the Black Messiah",2020,93,FALSE,"https://en.wikipedia.org/wiki/Judas_and_the_Black_Messiah"
"Mank",2020,93,FALSE,"https://en.wikipedia.org/wiki/Mank"
"Minari",2020,93,FALSE,"https://en.wikipedia.org/wiki/Minari"
"Nomadland",2020,93,TRUE,"https://en.wikipedia.org/wiki/Nomadland"
"Promising Young Woman",2020,93,FALSE,"https://en.wikipedia.org/wiki/Promising_Young_Woman"
"Sound of Metal",2020,93,FALSE,"https://en.wikipedia.org/wiki/Sound_of_Metal"
"The Father",2020,93,FALSE,"https://en.wikipedia.org/wiki/The_Father_(2020_film)"
"The Trial of the Chicago 7",2020,93,FALSE,"https://en.wikipedia.org/wiki/The_Trial_of_the_Chicago_7"
"Belfast",2021,94,FALSE,"https://en.wikipedia.org/wiki/Belfast_(film)"
"CODA",2021,94,TRUE,"https://en.wikipedia.org/wiki/CODA_(2021_film)"
"Don't Look Up",2021,94,FALSE,"https://en.wikipedia.org/wiki/Don%27t_Look_Up"
"Drive My Car",2021,94,FALSE,"https://en.wikipedia.org/wiki/Drive_My_Car_(film)"
"Dune",2021,94,FALSE,"https://en.wikipedia.org/wiki/Dune_(2021_film)"
"King Richard",2021,94,FALSE,"https://en.wikipedia.org/wiki/King_Richard_(film)"
"Licorice Pizza",2021,94,FALSE,"https://en.wikipedia.org/wiki/Licorice_Pizza"
"Nightmare Alley",2021,94,FALSE,"https://en.wikipedia.org/wiki/Nightmare_Alley_(2021_film)"
"The Power of the Dog",2021,94,FALSE,"https://en.wikipedia.org/wiki/The_Power_of_the_Dog_(film)"
"West Side Story",2021,94,FALSE,"https://en.wikipedia.org/wiki/West_Side_Story_(2021_film)"
"All Quiet on the Western Front",2022,95,FALSE,"https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(2022_film)"
"Avatar: The Way of Water",2022,95,FALSE,"https://en.wikipedia.org/wiki/Avatar:_The_Way_of_Water"
"Elvis",2022,95,FALSE,"https://en.wikipedia.org/wiki/Elvis_(2022_film)"
"Everything Everywhere All at Once",2022,95,TRUE,"https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once"
"Tár",2022,95,FALSE,"https://en.wikipedia.org/wiki/T%C3%A1r"
"The Banshees of Inisherin",2022,95,FALSE,"https://en.wikipedia.org/wiki/The_Banshees_of_Inisherin"
"The Fabelmans",2022,95,FALSE,"https://en.wikipedia.org/wiki/The_Fabelmans"
"Top Gun: Maverick",2022,95,FALSE,"https://en.wikipedia.org/wiki/Top_Gun:_Maverick"
"Triangle of Sadness",2022,95,FALSE,"https://en.wikipedia.org/wiki/Triangle_of_Sadness"
"Women Talking",2022,95,FALSE,"https://en.wikipedia.org/wiki/Women_Talking_(film)"
"American Fiction",2023,96,FALSE,"https://en.wikipedia.org/wiki/American_Fiction_(film)"
"Anatomy of a Fall",2023,96,FALSE,"https://en.wikipedia.org/wiki/Anatomy_of_a_Fall"
"Barbie",2023,96,FALSE,"https://en.wikipedia.org/wiki/Barbie_(film)"
"Killers of the Flower Moon",2023,96,FALSE,"https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon_(film)"
"Maestro",2023,96,FALSE,"https://en.wikipedia.org/wiki/Maestro_(2023_film)"
"Oppenheimer",2023,96,TRUE,"https://en.wikipedia.org/wiki/Oppenheimer_(film)"
"Past Lives",2023,96,FALSE,"https://en.wikipedia.org/wiki/Past_Lives_(film)"
"Poor Things",2023,96,FALSE,"https://en.wikipedia.org/wiki/Poor_Things_(film)"
"The Holdovers",2023,96,FALSE,"https://en.wikipedia.org/wiki/The_Holdovers"
"The Zone of Interest",2023,96,FALSE,"https://en.wikipedia.org/wiki/The_Zone_of_Interest_(film)"
"A Complete Unknown",2024,97,FALSE,"https://en.wikipedia.org/wiki/A_Complete_Unknown"
"Anora",2024,97,TRUE,"https://en.wikipedia.org/wiki/Anora"
"Conclave",2024,97,FALSE,"https://en.wikipedia.org/wiki/Conclave_(film)"
"Dune: Part Two",2024,97,FALSE,"https://en.wikipedia.org/wiki/Dune:_Part_Two"
"Emilia Pérez",2024,97,FALSE,"https://en.wikipedia.org/wiki/Emilia_P%C3%A9rez"
"I'm Still Here",2024,97,FALSE,"https://en.wikipedia.org/wiki/I%27m_Still_Here_(2024_film)"
"Nickel Boys",2024,97,FALSE,"https://en.wikipedia.org/wiki/Nickel_Boys"
"The Brutalist",2024,97,FALSE,"https://en.wikipedia.org/wiki/The_Brutalist"
"The Substance",2024,97,FALSE,"https://en.wikipedia.org/wiki/The_Substance"
"Wicked",2024,97,FALSE,"https://en.wikipedia.org/wiki/Wicked_(2024_film)"
"Bugonia",2025,98,FALSE,"https://en.wikipedia.org/wiki/Bugonia_(film)"
"F1",2025,98,FALSE,"https://en.wikipedia.org/wiki/F1_(film)"
"Frankenstein",2025,98,FALSE,"https://en.wikipedia.org/wiki/Frankenstein_(2025_film)"
"Hamnet",2025,98,FALSE,"https://en.wikipedia.org/wiki/Hamnet_(film)"
"Marty Supreme",2025,98,FALSE,"https://en.wikipedia.org/wiki/Marty_Supreme"
"One Battle After Another",2025,98,TRUE,"https://en.wikipedia.org/wiki/One_Battle_After_Another"
"Sentimental Value",2025,98,FALSE,"https://en.wikipedia.org/wiki/Sentimental_Value"
"Sinners",2025,98,FALSE,"https://en.wikipedia.org/wiki/Sinners_(2025_film)"
"The Secret Agent",2025,98,FALSE,"https://en.wikipedia.org/wiki/The_Secret_Agent_(2025_film)"
"Train Dreams",2025,98,FALSE,"https://en.wikipedia.org/wiki/Train_Dreams_(film)"
